StationCode,TripactionID,Nutr_NH4,Nutr_NO2 ,Nutr_NO3 ,Nutr_NOX ,Nutr_PO4 ,Nutr_SiO2,Pigm_Chlorophyll_c3,Pigm_Chlorophyll_c2,Pigm_Chlorophyllide_a,Pigm_Pheophorbide_a,Pigm_Peridine,Pigm_19butanoyloxyfucoxanthin,Pigm_Fucoxanthin,Pigm_Neoxanthine,Pigm_Prasinoxanthin,Pigm_19hexanoylooxyfucoxanthine,Pigm_Diadinoxanthin,Pigm_Antheraxanthin,Pigm_Alloxanthin,Pigm_Diatoxanthin,Pigm_Zeaxanthin,Pigm_Chlorophyll_b,Pigm_Echinenone,Pigm_Chlorophyll_a,Pigm_Pheophytin_a,Pigm_BetaCarotene,CTD_Pressure,CTD_Temperature,CTD_Conductivity,CTD_Obs,CTD_Altimeter,CTD_Par,CTD_FlECO-AFL,CTD_Sbeox,CTD_Sbeox0PS,CTD_Salinity,CTD_SvCM,CTD_Density,UW_FLRTchla,Latitude,Longitude,UW_Salinity,UW_Temperature,UW_RelativeHumidity,UW_WindDirection,UW_WindSpeed,UW_AirPressure,UW_SoundVelocity,UW_WaterFlow,UW_OctansHeading,UW_CourseOverGround,UW_SpeedOverGround,UW_OdomDepth33khz,UW_OdomDepth200khz,UW_NavDepth50khz,StartDate,EndDate
1,105837,1.63,0.17,3.92,4.09,0.1,5.26,0.108,0.3129,1.5762,0,0,0,1.9595,0,0,0,0.2686,0.045,0.0175,0.0396,0,0,0,4.7197,0,0.0735,3.026,12.1536,36646,10.04,7.28,0,7.01,7.42,84.24,31.6157,1493.36,1023.9471,2.87,51.2701877,2.902802,31.34,12.1523,97,116.3,0.06,0.994,1493.27,0.84,55.73,48,2.1,6.68,6.73,6.8,11/05/2017 21:37,11/05/2017 21:37
2,2000105592,7.22,0.17,3.59,3.76,0.46,7.71,0,0.1079,0.3377,0,0,0,1.0063,0,0,0,0.1005,0.0103,0.0082,0.0181,0,0,0,2.1066,0,0.0399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,51.1849527,2.6989522,32.568,11.8161,89,9.1,1.77,1.022,1493.58,0.95,263.3,273.8,1.9,8.21,8.28,8.2,08/05/2017 14:37,08/05/2017 14:37
3,2000105595,0.6,0.04,0.37,0.41,0.12,2.16,0.4919,0.1399,1.2159,0,0,0.099,1.0051,0,0.0922,0,0.1306,0,0,0.017,0,0,0,2.1421,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,51.0981638,2.1977093,34.224,11.4318,81,6.1,1.1,1.023,1494.24,0.94,286.97,224.1,2.3,1.46,NA,NA,08/05/2017 17:25,08/05/2017 17:29
4,2000105596,0.95,0.1,0.51,0.61,0.08,2.41,0.4032,0.1251,0.7262,0,0,0.0965,0.8605,0,0,0,0.1194,0,0,0.0119,0.0153,0,0,1.7775,0,0.0128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,51.1885285,2.185551,34.013,11.3501,82,3.1,0.1,1.024,1493.7,0.94,27.04,25.4,8.5,27.08,27.15,26.5,08/05/2017 19:24,08/05/2017 19:24
5,2000105597,0.84,0.03,0.19,0.22,0.08,2.1,0.3202,0.2365,0,0,0,0.0787,0.7589,0,0.0678,0,0.1019,0,0,0,0,0,0,1.7015,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37,51.0120288,1.902171,34.302,11.4727,83,19.7,0.69,1.025,1494.47,0.93,321.19,156.3,1.2,26.58,26.21,27.4,08/05/2017 20:50,08/05/2017 20:50
6,2000105602,0.44,0.07,0.82,0.89,0.06,2.27,0.3578,0.2749,0,0,0,0.052,0.7564,0,0.0108,0,0.0955,0,0.0077,0,0.0191,0,0,2.2788,0,0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62,50.8380575,1.4943462,34.442,11.3062,80,25.7,1.53,1.024,1494.06,0.94,285.29,147.1,2.8,NA,NA,35.5,08/05/2017 23:50,08/05/2017 23:51
7,2000105607,0.17,0.01,0.15,0.16,0.05,0.66,0.3222,0.2093,0,0,0,0.0432,0.665,0.0705,0.0759,0,0.0812,0,0,0,0,0,0,1.4888,0,0.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4908703,1.5201343,33.942,11.703,82,20.4,0.17,1.024,1494.84,0.95,286.85,192.6,1.2,9.91,9.91,9.9,09/05/2017 02:05,09/05/2017 02:06
8,105681,0.37,0.01,0.1,0.11,0.03,0.91,0.0535,0.0545,0,0,0,0.0102,0.165,0.0123,0.0176,0,0.035,0,0.0116,0.0064,0.01,0.0142,0,0.4785,0,0.0075,3.026,11.1109,39162,0.88,31.1,39.09,0.85,8.83,100.22,35.0142,1493.83,1026.78,0.76,50.6741928,1.1860995,34.802,11.1068,68,39.2,5.88,1.017,1493.8,0.83,225.66,219.8,4.3,28.97,28.03,27.9,09/05/2017 18:18,09/05/2017 18:18
9,105624,0.59,0.07,2.83,2.9,0.1,0.95,0.3524,0.289,0,0,0,0.097,1.1631,0.0355,0,0,0.16,0,0.0281,0.0174,0.0204,0.0503,0,2.2484,0,0.0352,3.026,11.1812,39163,2.67,19.6,318.2,5.55,9.04,102.66,34.9478,1493.99,1026.7155,3.47,50.8794197,0.8979157,34.749,11.1668,72,49.1,0.04,1.022,1493.95,0.84,18.95,23.5,4.1,17.51,17.48,17.5,09/05/2017 08:34,09/05/2017 08:34
10,105616,0.33,0.02,0.17,0.19,0.04,0.78,0.0495,0.038,0,0,0.0257,0.0102,0.2707,0,0,0,0.0494,0,0,0.0091,0.0083,0,0,0.3899,0,0.0057,3.026,10.909,39094,1.01,35.8,183.17,0.45,8.79,99.39,35.1388,1493.27,1026.9139,0.59,50.7017383,0.8798393,34.939,10.9043,84,23.9,0.35,1.023,1493.26,0.94,285.37,240,0.4,NA,NA,36.1,09/05/2017 06:41,09/05/2017 06:41
11,2000105613,0.33,0.02,0.2,0.22,0.03,1.32,0.0489,0.0347,0,0,0,0,0.1658,0,0,0,0.0202,0,0,0,0,0,0,0.3444,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,50.5748432,1.062474,34.754,11.082,75,41.7,0.12,1.023,1493.66,0.93,330.41,320.1,9,NA,NA,34.1,09/05/2017 05:06,09/05/2017 05:08
12,2000105612,0.34,0.03,0.06,0.09,0.02,1.58,0.3074,0.1123,0.5348,0,0,0.066,0.6464,0,0,0,0.0955,0,0,0.0125,0.0064,0,0,0.5773,0,0,3.026,11.3717,39293,1.94,14.25,0,8.58,8.52,97.15,34.8967,1494.59,1026.6407,6.17,50.4038882,1.2667993,34.702,11.3729,77,22.5,0.19,1.023,1494.61,0.95,299.11,269.1,2.7,13.74,13.74,13.9,09/05/2017 03:29,09/05/2017 03:33
13,2000105605,0.33,0.03,0.13,0.16,0.07,1.78,0.1484,0.0648,0.3637,0,0,0.0312,0.3749,0,0,0,0.0478,0,0,0,0,0,0,0.9583,0,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,50.588467,1.4990263,34.334,11.5058,80,27.5,0.25,1.024,1494.63,0.93,260.94,NA,0.4,24.01,23.39,23.4,09/05/2017 01:34,09/05/2017 01:34
14,105670,0.46,0.05,0.99,1.04,0.04,0.85,0.0989,0.0567,0.3884,0,0.0487,0.0184,0.316,0,0.0251,0,0.0514,0,0.0274,0.0068,0.0038,0.0322,0,0.5887,0,0.0134,3.026,11.082,39108,0.91,21.9,53.28,1.57,8.99,101.96,34.9881,1493.7,1026.765,1.14,50.7719275,1.2733055,34.778,11.084,70,40.2,0.33,1.017,1493.69,0.83,299.99,206.3,3.2,23.41,23.34,23.5,09/05/2017 17:10,09/05/2017 17:14
15,105632,0.49,0.11,6.04,6.15,0.19,0.44,0.245,0.2105,0.1309,0,0.0294,0.0622,0.7995,0,0,0,0.1194,0,0.0482,0.0268,0.0072,0.0862,0,1.7965,0,0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,50.9418728,1.0486975,34.657,11.2076,76,72,0.14,1.022,1493.98,0.83,300.94,54.4,0.8,29.75,29.71,30,09/05/2017 09:51,09/05/2017 09:51
16,105641,0.87,0.17,9.32,9.49,0.38,0.43,0.0415,0.0731,0.1182,0,0,0.0089,0.33,0,0,0,0.0486,0,0.0386,0.017,0,0.0592,0,0.9723,0,0.0219,3.026,11.1113,38791,2.57,23.19,622.69,0.86,8.55,96.81,34.6442,1493.38,1026.4919,0.68,51.0544655,1.189986,34.446,11.1322,73,79.2,0.31,1.021,1493.46,0.84,345.91,4,4.2,23.32,23.37,24,09/05/2017 11:24,09/05/2017 11:24
17,105663,0.56,0.08,2.42,2.5,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.026,11.0511,39017,0.65,37.59,53.95,2.42,9.1,103.11,34.9261,1493.51,1026.7224,1.65,50.9233707,1.3759068,34.72,11.0662,64,45.8,0.14,1.018,1493.56,0.84,331.81,202.9,2.1,0.96,NA,31.3,09/05/2017 15:55,09/05/2017 15:55
18,2000105599,1.01,0.03,0.32,0.35,0.08,2.21,0.5324,0.4,0,0,0,0.0812,1.0407,0,0,0,0.1385,0,0,0,0,0,0,2.9776,0,0.0214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9769752,1.6403992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/05/2017 22:15,08/05/2017 22:26
19,105655,0.71,0.09,2.89,2.98,0.11,0.54,0.2291,0.2003,0.0697,0,0,0.0558,0.7513,0,0,0,0.1206,0.0593,0,0.0119,0.01,0.0631,0,1.4964,0,0.0278,4.157,11.0341,38961,0.79,47.39,43.8,1.96,9.05,102.48,34.8862,1493.42,1026.6995,6.92,51.062762,1.5574333,34.394,11.4154,83,24.9,0.5,1.024,1494.39,0.93,280,206.2,1.6,NA,NA,38.4,09/05/2017 14:10,09/05/2017 14:18
20,105648,0.66,0.15,9.05,9.2,0.36,0.4,0.0369,0.0991,0.2552,0,0.0282,0.0124,0.4896,0,0,0,0.0665,0,0.0199,0.0106,0,0.0366,0,1.4314,0,0.0338,4.035,11.0406,38676,8.06,25.8,7.79,2.16,8.72,98.53,34.5954,1493.09,1026.4712,1.03,51.1325648,1.4250697,34.67,11.067,72,43.3,0.11,1.019,1493.51,0.86,302.41,16.8,0.8,NA,NA,48.4,09/05/2017 12:46,09/05/2017 12:54
21,105698,0.3,0.2,10.39,10.59,0.35,0.36,0.0309,0.1233,0.3002,0,0,0,0.6746,0,0,0,0.1033,0,0.0192,0.0151,0,0,0,1.9176,0,0.0361,3.026,10.5767,38082,12.75,12.71,23.49,2.76,8.89,99.42,34.439,1491.26,1026.4277,1.44,51.4046905,1.5435742,34.389,11.0466,74,45.5,0.12,1.02,1493.09,0.86,282.91,63.8,2.3,29.34,28.73,29,10/05/2017 06:42,10/05/2017 06:42
22,105691,0.73,0.15,8,8.15,0.31,0.31,0.0723,0.1192,0,0,0,0.0222,0.4582,0,0,0,0.0617,0,0.0285,0.0085,0.0033,0.0438,0,1.4129,0,0.0246,3.027,10.8979,38601,2.25,39.49,33.9,1.33,8.76,98.72,34.6559,1492.66,1026.5396,2.14,51.2887853,1.7132808,34.214,10.6049,69,55.7,0.08,1.011,1491.33,0.85,335.04,315,3.8,12.12,12.18,12.3,10/05/2017 05:18,10/05/2017 05:26
23,105682,0.78,0.08,0.28,0.36,0.04,1.2,0.6906,0.5845,0.2744,0,0,0.0812,1.2653,0,0,0,0.1855,0,0.0193,0,0.021,0.0644,0,4.8614,0,0.0433,3.026,11.0745,38913,1.52,28.65,0,7.73,9.59,108.62,34.7999,1493.44,1026.6198,1.07,51.2045545,1.8649327,34.444,10.9183,70,73.3,0.28,1.011,1492.71,0.85,348.1,340.5,3.7,23.35,NA,39.1,10/05/2017 02:04,10/05/2017 02:09
24,105687,0.36,0.07,1.8,1.87,0.05,0.47,0.3421,0.2789,0.0542,0,0,0.0592,0.6174,0,0,0,0.092,0,0.0099,0,0.0145,0.03,0,2.2421,0,0.0262,4.035,10.9413,38805,1.03,35.15,0,13.94,9.84,111.14,34.8186,1493.02,1026.6631,6.03,51.373101,1.9205338,34.585,11.0818,73,76.4,0.58,1.013,1493.45,0.81,54.76,49.7,4.2,27.2,27.03,26.7,10/05/2017 03:24,10/05/2017 03:31
25,105708,0.48,0.19,8.37,8.56,0.27,0.63,0.0315,0.1084,0,0,0,0.0133,0.4323,0,0,0,0.0557,0,0.0126,0.0059,0,0.018,0,1.1521,0,0.0218,1.894,10.4051,38045,8.6,25.03,181.9,2.58,8.75,97.56,34.5646,1490.78,1026.5506,7.84,51.4985018,1.6501418,34.603,10.9484,71,69.8,0.13,1.012,1493.01,0.85,305.26,312.1,3.4,NA,NA,37,10/05/2017 08:08,10/05/2017 08:08
26,105716,0.3,0.15,7.52,7.67,0.25,0.22,0.036,0.2015,0,0,0,0,0.7801,0,0,0,0.103,0,0.0216,0.0159,0,0.0343,0,2.4611,0,0.0285,3.014,10.9103,38426,6.97,21.63,315.98,2.79,9.23,103.9,34.4695,1492.47,1026.3921,2.17,51.6650858,1.4154758,34.339,10.4088,64,51.5,0.13,1.01,1490.78,0.86,316.86,267.9,1.4,23.76,23.59,23.5,10/05/2017 10:23,10/05/2017 10:23
27,105723,0.4,0.2,8.6,8.8,0.29,0.33,0.0394,0.2092,0,0,0,0.0056,0.7017,0,0,0,0.0991,0,0.0281,0.0196,0,0.0481,0,2.2214,0,0.0323,5.044,11.165,38703,6.57,13.24,60.32,2.65,9.1,103.07,34.5049,1493.43,1026.3828,1.89,51.554325,1.1588122,34.223,10.9524,65,64.4,0.03,1.009,1492.56,0.83,0,301.5,1.2,21.35,21.42,22,10/05/2017 11:53,10/05/2017 11:57
28,105730,0.48,0.2,14.78,14.98,0.49,1.42,0,0.0735,0.4897,0,0.0604,0,0.8359,0,0,0,0.104,0.0103,0.0216,0.0272,0,0.0275,0,2.137,0,0.0385,3.026,10.8844,38075,31.42,13.36,0,2.53,8.83,99.23,34.1423,1491.98,1026.1419,1.79,51.7349302,1.3050065,34.255,11.297,67,108.7,0.02,1.008,1493.81,0.85,46.11,294.6,1.1,15.36,15.6,15.4,10/05/2017 14:52,10/05/2017 14:59
29,105738,0.45,0.16,17.86,18.02,0.57,2.9,0,0.2229,0,0,0,0,1.1676,0,0,0,0.138,0,0.0165,0.0159,0,0,0,3.1397,0,0.0514,1.884,10.2736,37220,28.27,20.62,0.95,2.7,8.76,96.97,33.8529,1489.45,1026.0181,1.62,51.8801253,1.6051227,33.879,10.9169,72,76.2,0.01,1.006,1492.02,0.85,20.31,45.5,2.1,12.58,12.62,12.8,10/05/2017 16:37,10/05/2017 16:37
30,105747,0.54,0.15,7.45,7.6,0.23,0.61,0.0366,0.0964,0,0,0,0.0141,0.3117,0,0,0,0.052,0,0.023,0.0074,0,0.03,0,1.059,0,0.0162,3.027,10.4203,37990,1.41,33.85,28.66,1.81,9.43,105.08,34.4942,1490.77,1026.4982,2.11,51.7492988,1.8747088,33.579,10.2792,74,93.5,0.11,1.005,1489.4,0.84,325.86,71.3,1,0.78,19.82,NA,10/05/2017 18:22,10/05/2017 18:22
31,105752,0.54,0.02,0.03,0.05,0.03,0.74,0.3472,0.2365,0,0,0,0.0736,0.6625,0,0,0,0.1019,0,0,0,0,0,0,2.6434,0,0,4.035,11.0375,39100,1.15,26.62,0,10.8,9.76,110.65,35.0218,1493.6,1026.8039,1.01,51.568024,2.2556155,34.196,10.4363,77,65.3,0.13,1.004,1490.71,0.84,328.15,212.7,1,NA,NA,34.5,10/05/2017 20:26,10/05/2017 20:33
32,105757,0.3,0.02,0.05,0.07,0.03,0.62,0.1453,0.085,0,0,0,0.0186,0.2589,0,0,0,0.0403,0,0,0,0,0,0,1.0027,0,0,3.026,11.1041,38994,1.11,30.17,630.64,1.93,8.92,101.16,34.8535,1493.61,1026.6562,6.94,51.8011283,2.5554722,34.727,11.0423,85,57.6,0.28,1.003,1493.49,0.84,48.7,63.3,3.4,26.1,25.23,25.4,10/05/2017 22:46,10/05/2017 22:52
33,105761,0.31,0.03,0.02,0.05,0.04,1.08,0.0733,0.0372,0,0,0,0,0.1421,0,0,0,0.0239,0,0,0,0,0,0,0.5925,0,0,3.026,10.9761,39166,0.35,23.53,0,6.43,8.8,99.69,35.1476,1493.52,1026.9085,4.27,51.916892,3.0144368,34.904,10.8492,89,70.5,0.09,1.002,1493.02,0.84,311.67,260.4,0.9,0.92,NA,39.9,11/05/2017 00:52,11/05/2017 00:54
34,105816,0.49,0.04,0.08,0.12,0.05,2.77,0.0212,0.0239,0,0,0,0,0.1413,0,0,0,0.0207,0,0,0.0034,0,0,0,0.3697,0,0,4.036,11.5474,38043,0.42,22.55,84.09,0.74,7.85,89.06,33.5011,1493.53,1025.5275,0.59,51.5884315,3.0084175,33.186,11.5402,86,34.9,1.58,0.994,1493.37,0.83,238.96,245.4,4.9,24.68,23.79,24.1,11/05/2017 16:31,11/05/2017 16:36
35,105768,0.5,0.03,0.03,0.06,0.03,0.8,0.0598,0.0347,0,0,0,0,0.1675,0,0,0,0.0271,0,0,0,0,0,0,0.5469,0,0,2.813,10.7839,38718,0.4,30.23,8.13,4.63,8.8,99.04,34.8815,1492.52,1026.7348,3.11,52.0527538,3.3638315,34.852,10.9713,83,80.9,0.35,1.001,1493.39,0.84,316.43,2.6,1.4,1.03,NA,35.5,11/05/2017 04:06,11/05/2017 04:06
36,105770,0.92,0.03,0.01,0.04,0.04,1.01,0.4051,0.426,0,0,0,0.0279,1.0889,0,0,0,0.129,0,0,0,0,0,0,4.2386,0,0.0246,3.027,10.8187,37381,0.72,23.98,75.88,17.17,9.54,106.59,33.51,1490.99,1025.6611,2.32,52.0051957,3.6505088,34.584,10.7734,80,84.4,0.03,0.999,1492.37,0.84,27.14,0.1,2,1.1,NA,30.2,11/05/2017 05:43,11/05/2017 05:44
37,105778,1.55,0.18,9.09,9.27,0.1,3.89,2.1245,1.5489,3.1917,0,0,0.2073,5.6975,0,0,0,0.7209,0,0,0,0,0,0,18.5039,0,0.1448,3.027,11.7882,34684,5.87,4.83,17.7,39.71,0,0,30.0363,1490.21,1022.7889,5.38,51.8211013,3.7800052,33.227,10.8201,77,90.6,0.07,0.998,1490.9,0.84,339.42,245.4,0.4,24.3,23.52,24.4,11/05/2017 07:14,11/05/2017 07:14
38,105786,0.47,0.04,0.17,0.21,0.05,0.26,0.1331,0.1115,0,0,0,0,0.3528,0,0,0,0.051,0,0,0,0,0,0,1.0331,0,0,3.026,10.9193,38202,0.55,24.78,660.64,1.64,8.78,98.73,34.2363,1492.22,1026.209,26.01,51.8737345,3.4149853,30.054,11.7788,69,91.2,0.08,0.998,1490.45,0.83,39.81,354.7,1.3,4.14,4.17,4.1,11/05/2017 08:56,11/05/2017 08:56
39,105794,0.37,0.02,0.06,0.08,0.04,0.89,0.1415,0.0578,0.0844,0,0,0.0237,0.2691,0,0,0,0.0403,0,0,0.0125,0,0,0,0.8102,0,0,4.036,11.1596,38767,0.57,29.34,765.87,1.1,8.48,96.1,34.5743,1493.49,1026.4332,1.19,51.7612442,3.1481457,33.924,10.929,76,73,0.24,0.998,1492.12,0.83,347.31,284.4,1.9,19.32,19.48,19.8,11/05/2017 10:33,11/05/2017 10:38
40,105802,0.83,0.04,0.1,0.14,0.03,1.01,0.0116,0.0167,0,0,0,0,0.0876,0,0,0,0,0,0,0,0,0,0,0.2203,0,0,4.035,11.4671,37888,3.11,9.13,107.58,2.09,8.38,94.82,33.4216,1493.17,1025.4803,0.91,51.5997598,3.4026963,34.262,11.172,82,70.4,0.06,0.997,1493.38,0.83,26.81,222.5,0.8,1.01,NA,30,11/05/2017 12:25,11/05/2017 12:31
41,105809,0.83,0.03,0.13,0.16,0.11,1.03,0.0709,0.0701,0,0,0,0,0.3702,0,0,0,0.065,0,0,0.0089,0,0,0,0.9217,0,0.0056,6.053,11.5955,37826,2.03,4.76,91,2.28,8.23,93.31,33.2448,1493.44,1025.3285,0.65,51.5112273,3.290775,33.159,11.4731,85,18.6,0.02,0.996,1493.1,0.82,141.65,135.6,11.6,9.08,9.13,9.1,11/05/2017 13:53,11/05/2017 13:57
42,105826,1.66,0.08,0.59,0.67,0.13,3.64,0.0357,0.0526,0.114,0,0,0,0.2843,0,0,0,0.0446,0,0,0,0,0,0,0.6988,0,0.008,3.026,11.9297,37564,1.8,17.37,15.71,1.31,7.79,88.69,32.6939,1493.88,1024.8252,0.79,51.4713665,3.0559237,32.953,11.6235,85,26.9,0.03,0.995,1493.38,0.83,2.88,21.6,1.3,7.67,7.73,7.6,11/05/2017 18:06,11/05/2017 18:06
43,105830,2.26,0.06,0.25,0.31,0.13,4.52,0.084,0.0766,0.1905,0,0,0.0118,0.4244,0,0,0,0.0656,0,0,0,0,0,0,1.0221,0,0.0133,3.026,11.723,37482,0.2,18.61,0,0.53,7.27,82.42,32.7958,1493.29,1024.9427,1.06,51.4332192,2.8067305,32.432,11.9362,85,188.4,0.02,0.994,1493.83,0.83,332.1,251.4,0.5,1.01,17.32,17.3,11/05/2017 20:05,11/05/2017 20:05
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,51.4328242,2.8079157,32.428,11.7536,93,104.1,0.02,0.995,1493.2,0.84,14.48,242.5,2.4,18.56,18.78,18.6,,
